incident_id,project_id,employee_id,incident_type,severity,root_cause,status,reported_date,resolution_hours,sla_limit_hours,sla_breach,escalation_status,impacted_system,customer_impact,incident_priority
9037,518,1187,Third-Party Vendor Outage,High,Human Error,In Progress,2025-11-30,27,8,Yes,Escalated,HRMS,Medium,P2
9038,502,1143,Database Failure,Medium,Database Lock/Deadlock,In Progress,2026-02-21,42,24,Yes,Normal,Payment_Gateway,Low,P3
9039,541,1149,API Failure,Medium,Security Attack,Open,2025-10-18,24,24,No,Normal,ERP,High,P3
9040,517,1183,Authentication Failure,High,Cloud Region Failure,In Progress,2026-01-28,70,8,Yes,Escalated,Analytics Platform,Low,P2
9041,503,1038,Third-Party Vendor Outage,High,Failed Deployment,Escalated,2026-02-09,37,8,Yes,Escalated,ERP,Medium,P2
9042,503,1150,Application Outage,Medium,Server Resource Exhaustion,Open,2025-08-28,21,24,No,Normal,Payment_Gateway,Medium,P3
9043,548,1125,Authentication Failure,Critical,Cloud Region Failure,In Progress,2026-04-09,5,4,Yes,Escalated,Payment_Gateway,High,P1
9044,517,1200,Cloud Service Outage,Critical,Cloud Region Failure,Escalated,2026-04-14,58,4,Yes,Escalated,Payment_Gateway,Medium,P4
9045,538,1017,Server Performance Degradation,Medium,Configuration Error,Escalated,2025-06-09,43,24,Yes,Normal,Payment_Gateway,Low,P3
9046,528,1173,ETL/Data Pipeline Failure,High,Human Error,Resolved,2025-11-11,5,8,No,Normal,Payment_Gateway,Low,P2
9047,545,1048,Security Incident,Critical,Database Lock/Deadlock,Escalated,2025-06-28,48,4,Yes,Escalated,Analytics Platform,High,P1
9048,550,1143,Cloud Service Outage,High,Network Congestion,In Progress,2025-06-21,30,8,Yes,Escalated,HRMS,Medium,P2
9049,545,1148,Backup Failure,Low,Security Attack,Resolved,2025-07-14,39,48,No,Normal,HRMS,Low,P4
9050,524,1177,Database Failure,Medium,Database Lock/Deadlock,In Progress,2026-04-23,27,24,Yes,Normal,HRMS,Medium,P3
9051,524,1164,Production Deployment Failure,Critical,Security Attack,In Progress,2026-02-16,16,4,Yes,Escalated,Payment_Gateway,Medium,P4
9052,515,1175,Network Connectivity Issue,Critical,Configuration Error,In Progress,2026-02-08,30,4,Yes,Escalated,ERP,High,P1
9053,514,1110,API Failure,Critical,Configuration Error,Resolved,2026-04-02,3,4,No,Normal,CRM,Medium,P4
9054,505,1090,API Failure,High,Code Defect,Escalated,2025-06-21,34,8,Yes,Escalated,CRM,Medium,P2
9055,538,1005,Database Failure,Critical,Cloud Region Failure,In Progress,2025-07-12,12,4,Yes,Escalated,HRMS,Medium,P4
9056,502,1086,Security Incident,Low,Configuration Error,Resolved,2026-01-17,44,48,No,Normal,HRMS,Low,P4
9057,539,1030,API Failure,Low,Security Attack,Resolved,2026-01-29,16,48,No,Normal,HRMS,Medium,P4
9058,507,1012,Security Incident,Low,Failed Deployment,Escalated,2025-06-19,69,48,Yes,Normal,HRMS,Low,P4
9059,550,1136,Backup Failure,Low,Human Error,Resolved,2025-06-21,47,48,No,Normal,CRM,Low,P4
9060,530,1134,Server Performance Degradation,Low,Code Defect,In Progress,2026-03-23,56,48,Yes,Normal,Payment_Gateway,Medium,P4
9061,521,1026,Server Performance Degradation,Low,Expired Certificate,Resolved,2025-05-31,16,48,No,Normal,Analytics Platform,Low,P4
9062,517,1081,ETL/Data Pipeline Failure,High,Human Error,Escalated,2025-11-11,39,8,Yes,Escalated,ERP,Medium,P2
9063,511,1187,Cloud Service Outage,Medium,Server Resource Exhaustion,Resolved,2025-12-26,24,24,No,Normal,CRM,Medium,P3
9064,525,1034,Backup Failure,High,Third-Party Service Failure,Escalated,2025-12-04,34,8,Yes,Escalated,CRM,Medium,P2
9065,541,1139,Security Incident,Critical,Configuration Error,In Progress,2025-08-16,9,4,Yes,Escalated,ERP,Low,P4
9066,502,1074,Security Incident,Medium,Network Congestion,Open,2026-02-26,24,24,No,Normal,HRMS,Medium,P3
9067,531,1125,Database Failure,High,Capacity Overload,Open,2026-03-21,3,8,No,Normal,CRM,Medium,P2
9068,503,1196,Backup Failure,High,Human Error,Escalated,2026-05-25,61,8,Yes,Escalated,Analytics Platform,High,P2
9069,525,1111,Application Outage,Critical,Network Congestion,In Progress,2025-07-31,57,4,Yes,Escalated,Analytics Platform,Low,P4
9070,532,1107,Network Connectivity Issue,High,Network Congestion,In Progress,2025-08-17,15,8,Yes,Escalated,Payment_Gateway,Medium,P2
9071,513,1190,API Failure,Medium,Code Defect,Escalated,2026-04-03,36,24,Yes,Normal,HRMS,High,P3
9072,515,1031,Cloud Service Outage,Critical,Security Attack,In Progress,2025-07-02,21,4,Yes,Escalated,HRMS,Medium,P4
9073,526,1047,Third-Party Vendor Outage,Medium,Capacity Overload,Escalated,2026-05-17,40,24,Yes,Normal,HRMS,Low,P3
9074,535,1051,Network Connectivity Issue,Medium,Configuration Error,Resolved,2026-03-06,7,24,No,Normal,Analytics Platform,Low,P3
9075,526,1110,Security Incident,Medium,Third-Party Service Failure,Escalated,2025-08-10,65,24,Yes,Normal,CRM,Medium,P3
9076,549,1007,Production Deployment Failure,Medium,Failed Deployment,Escalated,2025-07-24,70,24,Yes,Normal,HRMS,High,P3
9077,532,1065,Network Connectivity Issue,Critical,Code Defect,Escalated,2025-07-18,40,4,Yes,Escalated,ERP,High,P1
9078,509,1192,Production Deployment Failure,Critical,Capacity Overload,In Progress,2025-11-13,6,4,Yes,Escalated,HRMS,Medium,P4
9079,524,1111,Server Performance Degradation,High,Code Defect,In Progress,2025-06-03,27,8,Yes,Escalated,Analytics Platform,Medium,P2
9080,550,1011,Cloud Service Outage,Medium,Server Resource Exhaustion,Resolved,2026-04-23,6,24,No,Normal,CRM,Low,P3
9081,509,1042,Backup Failure,Medium,Network Congestion,In Progress,2026-04-28,49,24,Yes,Normal,Payment_Gateway,Low,P3
9082,514,1012,Cloud Service Outage,Medium,Network Congestion,Resolved,2025-07-09,19,24,No,Normal,CRM,High,P3
9083,513,1161,Network Connectivity Issue,Critical,Human Error,In Progress,2026-01-28,10,4,Yes,Escalated,HRMS,High,P1
9084,501,1026,Network Connectivity Issue,Critical,Server Resource Exhaustion,In Progress,2025-06-08,16,4,Yes,Escalated,CRM,Low,P4
9085,520,1014,Application Outage,Critical,Code Defect,Escalated,2025-11-06,28,4,Yes,Escalated,HRMS,Low,P4
9086,540,1032,Authentication Failure,Critical,Code Defect,Escalated,2026-01-01,32,4,Yes,Escalated,CRM,Low,P4
9087,548,1174,Cloud Service Outage,Medium,Database Lock/Deadlock,In Progress,2025-06-27,38,24,Yes,Normal,CRM,High,P3
9088,517,1092,Production Deployment Failure,Critical,Failed Deployment,Escalated,2026-05-05,47,4,Yes,Escalated,Payment_Gateway,High,P1
9089,510,1191,Third-Party Vendor Outage,High,Network Congestion,Escalated,2025-09-02,60,8,Yes,Escalated,Analytics Platform,Low,P2
9090,547,1112,Authentication Failure,Critical,Cloud Region Failure,Escalated,2025-08-03,30,4,Yes,Escalated,Analytics Platform,Medium,P4
9091,507,1084,Network Connectivity Issue,Critical,Configuration Error,Open,2026-02-14,1,4,No,Normal,ERP,Low,P4
9092,531,1067,Security Incident,Medium,Expired Certificate,Escalated,2026-03-25,46,24,Yes,Normal,Payment_Gateway,Low,P3
9093,516,1182,API Failure,High,Database Lock/Deadlock,In Progress,2025-08-07,55,8,Yes,Escalated,Payment_Gateway,Low,P2
9094,543,1094,API Failure,Low,Capacity Overload,In Progress,2025-10-12,53,48,Yes,Normal,CRM,High,P4
9095,545,1093,Cloud Service Outage,High,Capacity Overload,Escalated,2025-06-18,19,8,Yes,Escalated,Payment_Gateway,Low,P2
9096,526,1034,Database Failure,High,Code Defect,Resolved,2025-09-01,2,8,No,Normal,Payment_Gateway,Medium,P2
9097,536,1190,Application Outage,Low,Failed Deployment,In Progress,2026-02-03,55,48,Yes,Normal,Payment_Gateway,High,P4
9098,545,1025,Third-Party Vendor Outage,Low,Configuration Error,Escalated,2025-09-29,58,48,Yes,Normal,ERP,Low,P4
9099,546,1003,Network Connectivity Issue,Medium,Failed Deployment,Resolved,2026-02-12,9,24,No,Normal,Analytics Platform,Low,P3
9100,530,1022,Third-Party Vendor Outage,Critical,Code Defect,In Progress,2025-10-18,27,4,Yes,Escalated,ERP,Low,P4
9101,524,1174,Database Failure,Medium,Failed Deployment,In Progress,2025-10-21,59,24,Yes,Normal,HRMS,Medium,P3
9102,515,1166,Authentication Failure,Medium,Network Congestion,Open,2025-08-01,8,24,No,Normal,ERP,Medium,P3
9103,511,1073,Third-Party Vendor Outage,Low,Server Resource Exhaustion,Open,2025-12-24,7,48,No,Normal,Payment_Gateway,Low,P4
9104,544,1069,Network Connectivity Issue,Medium,Human Error,Escalated,2026-03-25,28,24,Yes,Normal,Payment_Gateway,High,P3
9105,525,1151,Third-Party Vendor Outage,Low,Database Lock/Deadlock,Resolved,2025-11-13,23,48,No,Normal,HRMS,Low,P4
9106,516,1012,Application Outage,Critical,Human Error,Escalated,2026-02-19,62,4,Yes,Escalated,Analytics Platform,High,P1
9107,501,1188,Authentication Failure,Critical,Failed Deployment,Escalated,2025-11-25,39,4,Yes,Escalated,Analytics Platform,Medium,P4
9108,537,1131,Cloud Service Outage,Medium,Security Attack,Escalated,2026-03-04,32,24,Yes,Normal,ERP,High,P3
9109,514,1044,Security Incident,Medium,Database Lock/Deadlock,In Progress,2026-03-09,54,24,Yes,Normal,HRMS,Medium,P3
9110,523,1054,Cloud Service Outage,Medium,Configuration Error,Resolved,2025-12-24,5,24,No,Normal,HRMS,Low,P3
9111,535,1092,Production Deployment Failure,High,Configuration Error,Resolved,2026-03-07,2,8,No,Normal,HRMS,Medium,P2
9112,525,1090,Backup Failure,High,Network Congestion,Escalated,2025-07-17,30,8,Yes,Escalated,Analytics Platform,Medium,P2
9113,513,1164,Cloud Service Outage,Low,Code Defect,Open,2026-02-02,26,48,No,Normal,Analytics Platform,Low,P4
9114,532,1067,Third-Party Vendor Outage,Critical,Third-Party Service Failure,In Progress,2026-04-11,24,4,Yes,Escalated,ERP,Low,P4
9115,520,1192,Security Incident,Critical,Cloud Region Failure,Escalated,2025-11-17,6,4,Yes,Escalated,ERP,Low,P4
9116,513,1115,Security Incident,High,Network Congestion,In Progress,2025-09-17,28,8,Yes,Escalated,ERP,High,P2
9117,542,1180,API Failure,Low,Failed Deployment,Resolved,2025-10-13,2,48,No,Normal,Analytics Platform,Medium,P4
9118,529,1116,API Failure,Critical,Code Defect,In Progress,2026-01-29,47,4,Yes,Escalated,HRMS,Medium,P4
9119,532,1002,Network Connectivity Issue,Critical,Capacity Overload,In Progress,2025-11-12,27,4,Yes,Escalated,Payment_Gateway,Medium,P4
9120,509,1046,Network Connectivity Issue,Low,Capacity Overload,Escalated,2026-01-02,71,48,Yes,Normal,HRMS,High,P4
9121,513,1122,Backup Failure,Critical,Expired Certificate,In Progress,2025-06-17,17,4,Yes,Escalated,HRMS,High,P1
9122,525,1054,Application Outage,High,Code Defect,Open,2025-11-05,5,8,No,Normal,CRM,Low,P2
9123,547,1117,Third-Party Vendor Outage,Medium,Capacity Overload,Open,2025-11-22,3,24,No,Normal,Payment_Gateway,Medium,P3
9124,550,1182,Network Connectivity Issue,High,Code Defect,Escalated,2025-08-17,54,8,Yes,Escalated,ERP,High,P2
9125,510,1159,Server Performance Degradation,Medium,Human Error,Escalated,2026-05-18,58,24,Yes,Normal,ERP,Low,P3
9126,533,1117,Server Performance Degradation,High,Network Congestion,Escalated,2025-09-21,40,8,Yes,Escalated,ERP,High,P2
9127,510,1128,Authentication Failure,Critical,Security Attack,In Progress,2025-06-03,55,4,Yes,Escalated,Analytics Platform,High,P1
9128,538,1200,Backup Failure,High,Network Congestion,Escalated,2026-03-04,11,8,Yes,Escalated,Analytics Platform,Medium,P2
9129,537,1162,Server Performance Degradation,Low,Capacity Overload,Resolved,2025-11-02,47,48,No,Normal,HRMS,Medium,P4
9130,541,1183,Cloud Service Outage,Medium,Failed Deployment,Open,2026-04-30,20,24,No,Normal,Payment_Gateway,Medium,P3
9131,510,1116,Backup Failure,Medium,Cloud Region Failure,In Progress,2025-11-04,33,24,Yes,Normal,Payment_Gateway,Medium,P3
9132,527,1178,Server Performance Degradation,High,Human Error,Escalated,2026-01-19,39,8,Yes,Escalated,Analytics Platform,Low,P2
9133,502,1029,Authentication Failure,Critical,Code Defect,In Progress,2025-11-23,25,4,Yes,Escalated,Analytics Platform,High,P1
9134,547,1061,Cloud Service Outage,High,Capacity Overload,Escalated,2026-04-14,36,8,Yes,Escalated,CRM,Low,P2
9135,502,1106,Server Performance Degradation,Medium,Cloud Region Failure,In Progress,2026-04-30,29,24,Yes,Normal,ERP,Medium,P3
9136,515,1147,Authentication Failure,Critical,Database Lock/Deadlock,Escalated,2026-02-26,22,4,Yes,Escalated,HRMS,High,P1
9137,540,1197,Network Connectivity Issue,High,Security Attack,In Progress,2025-06-22,28,8,Yes,Escalated,ERP,High,P2
9138,535,1124,Application Outage,Low,Third-Party Service Failure,Escalated,2025-11-23,58,48,Yes,Normal,HRMS,Medium,P4
9139,542,1121,Backup Failure,Medium,Code Defect,In Progress,2026-05-08,55,24,Yes,Normal,ERP,Low,P3
9140,537,1132,Server Performance Degradation,Critical,Database Lock/Deadlock,Escalated,2026-05-24,25,4,Yes,Escalated,HRMS,High,P1
9141,501,1023,Cloud Service Outage,High,Configuration Error,Escalated,2025-10-24,40,8,Yes,Escalated,Payment_Gateway,High,P2
9142,527,1014,ETL/Data Pipeline Failure,Medium,Security Attack,Resolved,2026-01-07,24,24,No,Normal,HRMS,High,P3
9143,523,1163,Application Outage,Low,Server Resource Exhaustion,Escalated,2026-01-10,56,48,Yes,Normal,Analytics Platform,Medium,P4
9144,544,1135,Production Deployment Failure,Low,Failed Deployment,Open,2026-03-26,41,48,No,Normal,Payment_Gateway,Medium,P4
9145,531,1008,Backup Failure,Low,Failed Deployment,Resolved,2025-10-22,28,48,No,Normal,ERP,High,P4
9146,525,1058,Network Connectivity Issue,Low,Network Congestion,In Progress,2025-07-12,56,48,Yes,Normal,ERP,Low,P4
9147,513,1034,Network Connectivity Issue,Medium,Configuration Error,In Progress,2026-05-12,26,24,Yes,Normal,Payment_Gateway,Low,P3
9148,536,1025,API Failure,Critical,Network Congestion,Escalated,2025-08-28,17,4,Yes,Escalated,Analytics Platform,Medium,P4
9149,539,1123,Backup Failure,Medium,Security Attack,Escalated,2025-11-22,26,24,Yes,Normal,Payment_Gateway,High,P3
9150,540,1122,Backup Failure,Low,Third-Party Service Failure,Open,2025-12-30,36,48,No,Normal,ERP,Low,P4
9151,546,1160,Backup Failure,Critical,Code Defect,In Progress,2026-04-12,54,4,Yes,Escalated,HRMS,Medium,P4
9152,507,1058,Application Outage,Critical,Configuration Error,In Progress,2026-01-20,72,4,Yes,Escalated,Analytics Platform,High,P1
9153,535,1012,Backup Failure,High,Expired Certificate,In Progress,2025-10-30,55,8,Yes,Escalated,CRM,High,P2
9154,522,1128,ETL/Data Pipeline Failure,Low,Failed Deployment,Open,2025-07-25,20,48,No,Normal,ERP,High,P4
9155,539,1185,Production Deployment Failure,Low,Database Lock/Deadlock,Escalated,2026-01-11,52,48,Yes,Normal,CRM,Medium,P4
9156,504,1150,Third-Party Vendor Outage,Medium,Configuration Error,Escalated,2025-06-28,35,24,Yes,Normal,HRMS,Low,P3
9157,506,1051,Security Incident,High,Server Resource Exhaustion,Escalated,2026-04-22,9,8,Yes,Escalated,CRM,High,P2
9158,526,1004,Production Deployment Failure,High,Human Error,Escalated,2025-07-05,33,8,Yes,Escalated,ERP,Medium,P2
9159,539,1183,Database Failure,Medium,Expired Certificate,Escalated,2026-03-20,29,24,Yes,Normal,Payment_Gateway,High,P3
9160,529,1100,Server Performance Degradation,Critical,Code Defect,Escalated,2025-09-30,20,4,Yes,Escalated,Analytics Platform,Low,P4
9161,517,1184,Network Connectivity Issue,High,Configuration Error,Escalated,2025-11-29,54,8,Yes,Escalated,CRM,Low,P2
9162,524,1109,Third-Party Vendor Outage,Low,Third-Party Service Failure,In Progress,2025-09-29,49,48,Yes,Normal,Analytics Platform,Low,P4
9163,531,1015,Server Performance Degradation,Low,Capacity Overload,Resolved,2025-09-23,28,48,No,Normal,CRM,Low,P4
9164,525,1066,Authentication Failure,Critical,Third-Party Service Failure,In Progress,2026-02-04,24,4,Yes,Escalated,Analytics Platform,High,P1
9165,522,1067,Authentication Failure,Low,Cloud Region Failure,Escalated,2026-01-08,49,48,Yes,Normal,Analytics Platform,Medium,P4
9166,519,1082,Authentication Failure,High,Server Resource Exhaustion,In Progress,2025-06-26,24,8,Yes,Escalated,CRM,Low,P2
9167,538,1097,ETL/Data Pipeline Failure,Medium,Code Defect,In Progress,2025-08-19,31,24,Yes,Normal,HRMS,Medium,P3
9168,501,1039,Production Deployment Failure,Medium,Third-Party Service Failure,Escalated,2026-01-28,32,24,Yes,Normal,HRMS,Medium,P3
9169,521,1101,ETL/Data Pipeline Failure,Medium,Human Error,Escalated,2025-07-31,55,24,Yes,Normal,CRM,Low,P3
9170,547,1110,Production Deployment Failure,Low,Network Congestion,In Progress,2026-03-30,64,48,Yes,Normal,Payment_Gateway,Medium,P4
9171,504,1064,Security Incident,Medium,Human Error,Escalated,2025-09-02,33,24,Yes,Normal,ERP,Medium,P3
9172,506,1059,Security Incident,Low,Human Error,Open,2026-03-14,3,48,No,Normal,ERP,Low,P4
9173,539,1006,API Failure,Medium,Network Congestion,Resolved,2025-12-03,11,24,No,Normal,CRM,Low,P3
9174,548,1072,Security Incident,Critical,Database Lock/Deadlock,Escalated,2025-06-21,64,4,Yes,Escalated,ERP,High,P1
9175,518,1080,Backup Failure,High,Third-Party Service Failure,Escalated,2026-03-15,65,8,Yes,Escalated,CRM,Medium,P2
9176,513,1069,Cloud Service Outage,High,Capacity Overload,In Progress,2026-04-27,20,8,Yes,Escalated,HRMS,Medium,P2
9177,546,1138,Security Incident,Critical,Cloud Region Failure,Escalated,2025-09-04,22,4,Yes,Escalated,CRM,Medium,P4
9178,542,1023,Database Failure,Low,Database Lock/Deadlock,Open,2025-12-22,38,48,No,Normal,CRM,Low,P4
9179,503,1015,Security Incident,Critical,Human Error,Escalated,2025-10-10,6,4,Yes,Escalated,CRM,Medium,P4
9180,526,1127,Backup Failure,Low,Capacity Overload,Open,2026-01-15,39,48,No,Normal,CRM,Low,P4
9181,531,1021,Database Failure,High,Expired Certificate,Resolved,2025-07-12,7,8,No,Normal,Payment_Gateway,Low,P2
9182,538,1151,Application Outage,High,Server Resource Exhaustion,Escalated,2026-04-10,49,8,Yes,Escalated,CRM,Low,P2
9183,541,1107,Security Incident,High,Cloud Region Failure,Escalated,2025-12-25,17,8,Yes,Escalated,Analytics Platform,High,P2
9184,527,1152,ETL/Data Pipeline Failure,High,Network Congestion,Escalated,2025-08-23,37,8,Yes,Escalated,Analytics Platform,High,P2
9185,547,1197,Authentication Failure,Medium,Capacity Overload,In Progress,2026-04-28,32,24,Yes,Normal,Analytics Platform,Medium,P3
9186,522,1030,Authentication Failure,High,Server Resource Exhaustion,In Progress,2026-04-21,72,8,Yes,Escalated,Analytics Platform,Low,P2
9187,501,1045,Application Outage,Critical,Network Congestion,Escalated,2026-03-25,59,4,Yes,Escalated,CRM,Medium,P4
9188,506,1071,Cloud Service Outage,Low,Code Defect,Resolved,2025-10-01,34,48,No,Normal,Analytics Platform,High,P4
9189,548,1052,Third-Party Vendor Outage,Critical,Cloud Region Failure,Escalated,2025-12-01,42,4,Yes,Escalated,Analytics Platform,Low,P4
9190,505,1081,Application Outage,Medium,Human Error,Escalated,2025-09-08,69,24,Yes,Normal,CRM,Medium,P3
9191,543,1018,Application Outage,Critical,Human Error,In Progress,2025-12-28,42,4,Yes,Escalated,CRM,Medium,P4
9192,516,1057,Application Outage,Critical,Capacity Overload,Open,2025-10-25,4,4,No,Normal,HRMS,High,P1
9193,547,1104,API Failure,High,Expired Certificate,Escalated,2025-10-11,41,8,Yes,Escalated,Payment_Gateway,Low,P2
9194,545,1151,Authentication Failure,Low,Code Defect,Open,2026-05-21,13,48,No,Normal,CRM,Medium,P4
9195,532,1023,Network Connectivity Issue,Low,Database Lock/Deadlock,Resolved,2025-08-12,3,48,No,Normal,ERP,Low,P4
9196,505,1095,Database Failure,Low,Security Attack,Escalated,2025-11-20,69,48,Yes,Normal,HRMS,Medium,P4
9197,520,1010,Cloud Service Outage,Medium,Expired Certificate,Escalated,2025-08-03,50,24,Yes,Normal,CRM,High,P3
9198,535,1172,Database Failure,Critical,Database Lock/Deadlock,In Progress,2025-12-31,24,4,Yes,Escalated,ERP,High,P1
9199,508,1093,Server Performance Degradation,High,Security Attack,Resolved,2025-10-07,4,8,No,Normal,ERP,Medium,P2
9200,533,1140,Cloud Service Outage,Critical,Network Congestion,In Progress,2025-10-17,14,4,Yes,Escalated,HRMS,High,P1
9201,505,1182,Third-Party Vendor Outage,Critical,Cloud Region Failure,Resolved,2025-09-09,3,4,No,Normal,Payment_Gateway,Low,P4
9202,518,1098,Production Deployment Failure,Critical,Server Resource Exhaustion,Escalated,2025-12-30,38,4,Yes,Escalated,Payment_Gateway,Low,P4
9203,540,1085,Security Incident,Critical,Code Defect,Escalated,2026-02-02,12,4,Yes,Escalated,ERP,High,P1
9204,506,1155,Backup Failure,Medium,Capacity Overload,Open,2026-03-23,18,24,No,Normal,HRMS,Medium,P3
9205,509,1080,Application Outage,Low,Failed Deployment,Open,2026-03-28,8,48,No,Normal,Payment_Gateway,Medium,P4
9206,530,1103,Security Incident,Medium,Network Congestion,Escalated,2025-12-15,52,24,Yes,Normal,HRMS,Low,P3
9207,528,1162,Server Performance Degradation,Low,Security Attack,Resolved,2026-02-25,37,48,No,Normal,Payment_Gateway,High,P4
9208,502,1122,ETL/Data Pipeline Failure,Critical,Database Lock/Deadlock,Escalated,2026-02-05,15,4,Yes,Escalated,HRMS,Low,P4
9209,531,1064,Cloud Service Outage,Medium,Network Congestion,In Progress,2025-07-13,71,24,Yes,Normal,HRMS,Medium,P3
9210,507,1044,Application Outage,High,Failed Deployment,Escalated,2025-09-12,36,8,Yes,Escalated,Payment_Gateway,Medium,P2
9211,545,1124,Third-Party Vendor Outage,High,Third-Party Service Failure,Resolved,2025-07-03,4,8,No,Normal,CRM,Medium,P2
9212,506,1177,Security Incident,Medium,Third-Party Service Failure,Resolved,2025-10-01,6,24,No,Normal,CRM,Medium,P3
9213,503,1102,API Failure,High,Expired Certificate,Escalated,2026-01-07,36,8,Yes,Escalated,CRM,Low,P2
9214,538,1033,Authentication Failure,High,Network Congestion,Escalated,2025-07-21,70,8,Yes,Escalated,CRM,High,P2
9215,514,1198,Production Deployment Failure,Medium,Human Error,Open,2025-10-29,19,24,No,Normal,ERP,Low,P3
9216,538,1091,Third-Party Vendor Outage,Medium,Server Resource Exhaustion,In Progress,2025-10-26,50,24,Yes,Normal,ERP,Low,P3
9217,546,1017,Database Failure,Critical,Human Error,Escalated,2026-05-23,8,4,Yes,Escalated,CRM,Low,P4
