task_id,project_id,employee_id,task_name,priority,status,estimated_hours,actual_hours,start_date,due_date,completion_date,delay_days,sla_breach,dependency_reason,task_complexity,risk_level,min_completion_time,max_completion_time,avg_completion_time
10016,542,1087,Task_10016,Medium,Delayed,32,70,2025-08-06,2025-10-09,2025-10-09,0,No,Vendor Delay,Easy,High,28,80,54.0
10017,503,1118,Task_10017,High,Completed,47,54,2026-02-06,2026-02-16,2026-02-12,-4,No,N/A,Complex,Medium,46,69,57.5
10018,531,1140,Task_10018,Low,Completed,42,39,2025-12-27,2026-03-24,2026-03-20,-4,No,N/A,Complex,Medium,39,55,47.0
10019,524,1032,Task_10019,Medium,Ready for Review,65,85,2025-09-30,2025-11-30,2025-11-30,0,No,N/A,Medium,High,61,100,80.5
10020,534,1095,Task_10020,High,Review Completed,44,44,2024-07-14,2024-09-11,2024-09-03,-8,No,N/A,Medium,Low,40,54,47.0
10021,521,0,Task_10021,Medium,Not Started,94,107,2025-03-01,2025-04-14,2025-04-14,0,No,N/A,Complex,Medium,90,125,107.5
10022,503,1115,Task_10022,Low,Ready for Review,103,120,2025-06-26,2025-09-17,2025-09-17,0,No,N/A,Easy,High,99,133,116.0
10023,524,1104,Task_10023,Low,Pending,75,113,2024-09-21,2024-10-16,2024-10-16,0,No,Waiting for Client Input,Easy,Low,73,132,102.5
10024,542,1200,Task_10024,Medium,In Progress,56,74,2025-11-27,2026-01-20,2026-01-20,0,No,N/A,Complex,Medium,51,80,65.5
10025,529,1096,Task_10025,Critical,Ready for Review,107,106,2025-09-04,2025-11-21,2025-11-21,0,No,N/A,Medium,High,105,122,113.5
10026,508,1064,Task_10026,Low,Ready for Review,13,19,2025-08-04,2025-10-11,2025-10-11,0,No,N/A,Medium,Medium,8,36,22.0
10027,514,1115,Task_10027,Low,Pending,88,101,2025-11-09,2026-01-15,2026-01-15,0,No,Pending Approval,Medium,Low,87,110,98.5
10028,506,1114,Task_10028,High,Pending,113,151,2025-06-11,2025-07-26,2025-07-26,0,No,Vendor Delay,Medium,Low,110,158,134.0
10029,545,1182,Task_10029,Medium,Pending,91,97,2025-03-04,2025-04-24,2025-04-24,0,No,Awaiting Manager Decision,Easy,Low,89,105,97.0
10030,502,1127,Task_10030,Low,Completed,56,86,2025-07-27,2025-10-13,2025-10-14,1,No,N/A,Easy,Medium,52,95,73.5
10031,547,1184,Task_10031,Medium,Review Completed,71,99,2024-09-08,2024-11-04,2024-11-07,3,No,N/A,Medium,High,66,106,86.0
10032,529,0,Task_10032,Medium,Not Started,69,107,2024-08-05,2024-10-15,2024-10-15,0,No,N/A,Easy,Medium,66,116,91.0
10033,508,1015,Task_10033,Medium,Delayed,76,80,2024-06-17,2024-07-30,2024-07-30,0,No,Pending Approval,Medium,High,74,95,84.5
10034,517,1021,Task_10034,High,Ready for Review,35,70,2024-11-30,2025-02-13,2025-02-13,0,No,N/A,Complex,High,32,79,55.5
10035,533,0,Task_10035,Medium,Not Started,92,97,2026-03-06,2026-05-25,2026-05-25,0,No,N/A,Complex,High,87,106,96.5
10036,522,1155,Task_10036,High,Pending,117,148,2025-07-11,2025-07-21,2025-07-21,0,No,Waiting for Client Input,Complex,Low,116,154,135.0
10037,527,1147,Task_10037,High,Completed,89,124,2025-07-09,2025-07-17,2025-07-22,5,No,N/A,Medium,Low,84,138,111.0
10038,526,1176,Task_10038,Critical,Completed,48,72,2025-03-20,2025-04-03,2025-03-25,-9,No,N/A,Medium,Medium,46,91,68.5
10039,539,1088,Task_10039,Medium,In Progress,28,43,2024-12-15,2025-01-29,2025-01-29,0,No,N/A,Medium,High,25,60,42.5
10040,521,1028,Task_10040,Medium,Delayed,40,64,2024-11-24,2024-12-14,2024-12-14,0,No,Dependency on External Team,Easy,Low,36,76,56.0
10041,540,1099,Task_10041,Medium,Ready for Review,63,73,2025-04-06,2025-05-01,2025-05-01,0,No,N/A,Easy,Medium,60,88,74.0
10042,532,1120,Task_10042,Medium,Delayed,49,75,2025-11-08,2025-11-15,2025-11-15,0,No,Waiting for Client Input,Easy,High,45,94,69.5
10043,504,1013,Task_10043,Low,Ready for Review,46,72,2025-04-01,2025-06-21,2025-06-21,0,No,N/A,Easy,Medium,42,86,64.0
10044,547,1068,Task_10044,Low,In Progress,56,76,2025-12-18,2026-02-07,2026-02-07,0,No,N/A,Complex,High,55,93,74.0
10045,536,1093,Task_10045,High,In Progress,46,45,2025-12-28,2026-02-20,2026-02-20,0,No,N/A,Complex,High,41,64,52.5
10046,509,1031,Task_10046,Medium,Delayed,22,42,2026-04-23,2026-06-14,2026-06-14,0,No,Dependency on External Team,Easy,High,17,58,37.5
10047,533,1103,Task_10047,Critical,Delayed,15,12,2025-01-17,2025-01-26,2025-01-26,0,No,Pending Approval,Easy,High,12,32,22.0
10048,521,1036,Task_10048,High,Delayed,88,103,2025-02-13,2025-03-10,2025-03-10,0,No,Infrastructure Issue,Complex,High,83,117,100.0
10049,546,1126,Task_10049,Low,Delayed,82,96,2026-03-05,2026-05-09,2026-05-09,0,No,Waiting for Client Input,Medium,High,79,111,95.0
10050,545,1186,Task_10050,Medium,Ready for Review,90,86,2024-06-12,2024-09-01,2024-09-01,0,No,N/A,Complex,Low,86,99,92.5
10051,511,1123,Task_10051,Low,Delayed,77,112,2026-05-13,2026-08-05,2026-08-05,0,No,Infrastructure Issue,Complex,High,75,124,99.5
10052,513,0,Task_10052,Critical,Not Started,12,35,2026-04-26,2026-06-10,2026-06-10,0,No,N/A,Complex,Low,8,44,26.0
10053,550,1129,Task_10053,High,Review Completed,88,113,2025-10-30,2025-11-11,2025-11-05,-6,No,N/A,Complex,Medium,83,124,103.5
10054,521,1097,Task_10054,High,Delayed,32,56,2025-08-23,2025-11-04,2025-11-04,0,No,Dependency on External Team,Complex,Medium,27,72,49.5
10055,518,1064,Task_10055,Medium,In Progress,81,95,2025-09-27,2025-10-30,2025-10-30,0,No,N/A,Complex,High,78,109,93.5
10056,531,1082,Task_10056,Critical,Review Completed,54,84,2024-11-03,2024-12-13,2024-12-12,-1,No,N/A,Medium,Low,53,101,77.0
10057,519,1011,Task_10057,Critical,Ready for Review,101,101,2025-09-01,2025-10-20,2025-10-20,0,No,N/A,Easy,Low,97,114,105.5
10058,518,1138,Task_10058,Medium,Completed,81,120,2025-08-19,2025-09-27,2025-09-21,-6,No,N/A,Easy,High,80,132,106.0
10059,541,1058,Task_10059,Low,Delayed,39,37,2025-12-19,2026-01-05,2026-01-05,0,No,Infrastructure Issue,Complex,Low,36,57,46.5
10060,536,0,Task_10060,Medium,Not Started,30,51,2026-02-21,2026-05-20,2026-05-20,0,No,N/A,Medium,Medium,26,71,48.5
10061,504,1166,Task_10061,Low,Ready for Review,108,108,2025-10-24,2026-01-20,2026-01-20,0,No,N/A,Easy,Medium,103,120,111.5
10062,503,1046,Task_10062,Low,Completed,117,137,2026-04-06,2026-06-13,2026-06-08,-5,No,N/A,Medium,High,114,143,128.5
10063,522,1028,Task_10063,Medium,Delayed,46,70,2024-08-15,2024-11-10,2024-11-10,0,No,Awaiting Manager Decision,Complex,Medium,41,90,65.5
10064,508,1050,Task_10064,Low,Ready for Review,52,57,2024-10-19,2024-12-21,2024-12-21,0,No,N/A,Complex,Medium,49,67,58.0
10065,537,1076,Task_10065,High,Completed,96,103,2025-04-25,2025-05-22,2025-05-31,9,Yes,N/A,Easy,Medium,92,121,106.5
10066,512,1025,Task_10066,Critical,Pending,27,52,2024-10-25,2024-12-10,2024-12-10,0,No,Pending Approval,Easy,Medium,26,65,45.5
10067,522,1069,Task_10067,Medium,Completed,48,80,2025-06-12,2025-08-29,2025-08-19,-10,No,N/A,Easy,High,45,96,70.5
10068,530,0,Task_10068,Low,Not Started,49,54,2024-09-01,2024-10-27,2024-10-27,0,No,N/A,Complex,Medium,44,68,56.0
10069,515,1158,Task_10069,High,Ready for Review,38,41,2026-02-20,2026-04-27,2026-04-27,0,No,N/A,Medium,High,36,60,48.0
10070,549,1121,Task_10070,Critical,Delayed,78,115,2026-03-10,2026-04-11,2026-04-11,0,No,Pending Approval,Complex,High,73,122,97.5
10071,537,1020,Task_10071,Medium,Ready for Review,24,22,2024-09-17,2024-12-01,2024-12-01,0,No,N/A,Easy,Medium,19,33,26.0
10072,529,1134,Task_10072,Critical,Completed,24,62,2024-11-23,2024-12-24,2025-01-01,8,Yes,N/A,Easy,Medium,20,69,44.5
10073,527,1132,Task_10073,High,In Progress,68,99,2025-11-16,2025-11-28,2025-11-28,0,No,N/A,Complex,Low,63,118,90.5
10074,501,1066,Task_10074,High,Review Completed,105,113,2024-11-18,2025-02-05,2025-01-28,-8,No,N/A,Complex,Low,104,131,117.5
10075,505,1016,Task_10075,Critical,Delayed,70,67,2025-11-09,2025-12-20,2025-12-20,0,No,Infrastructure Issue,Medium,Medium,68,76,72.0
10076,525,1097,Task_10076,Low,Review Completed,20,58,2024-07-02,2024-09-29,2024-10-06,7,No,N/A,Easy,High,18,74,46.0
10077,509,1136,Task_10077,Critical,Review Completed,103,112,2024-10-31,2024-11-05,2024-10-26,-10,No,N/A,Complex,Medium,100,131,115.5
10078,516,1059,Task_10078,Low,Completed,68,85,2026-04-19,2026-05-13,2026-05-11,-2,No,N/A,Complex,Medium,66,93,79.5
10079,502,1197,Task_10079,Critical,Delayed,40,48,2024-09-13,2024-09-26,2024-09-26,0,No,Waiting for Client Input,Complex,High,35,54,44.5
10080,516,1013,Task_10080,Low,Pending,104,101,2026-01-17,2026-03-14,2026-03-14,0,No,Infrastructure Issue,Easy,High,102,112,107.0
10081,547,1060,Task_10081,Medium,Ready for Review,83,98,2024-11-20,2025-02-06,2025-02-06,0,No,N/A,Medium,Low,78,113,95.5
10082,515,1134,Task_10082,Critical,Pending,62,76,2025-03-05,2025-04-14,2025-04-14,0,No,Waiting for Client Input,Complex,Medium,57,86,71.5
10083,523,0,Task_10083,Critical,Not Started,92,129,2024-11-29,2025-01-21,2025-01-21,0,No,N/A,Medium,Low,87,144,115.5
10084,512,1097,Task_10084,High,Ready for Review,106,135,2024-06-20,2024-08-24,2024-08-24,0,No,N/A,Complex,Low,104,147,125.5
10085,504,1119,Task_10085,Critical,Completed,81,102,2025-02-09,2025-04-08,2025-04-15,7,No,N/A,Easy,Medium,76,111,93.5
10086,542,1085,Task_10086,Low,In Progress,20,43,2026-04-15,2026-06-06,2026-06-06,0,No,N/A,Medium,Medium,19,54,36.5
10087,539,1155,Task_10087,Critical,Pending,15,14,2025-12-15,2026-01-13,2026-01-13,0,No,Awaiting Manager Decision,Easy,Medium,10,25,17.5
10088,514,1004,Task_10088,Critical,Ready for Review,34,36,2026-02-08,2026-04-15,2026-04-15,0,No,N/A,Easy,High,32,47,39.5
10089,519,1199,Task_10089,High,Ready for Review,58,82,2025-02-28,2025-05-12,2025-05-12,0,No,N/A,Medium,High,55,96,75.5
10090,507,1120,Task_10090,Critical,Review Completed,112,137,2024-09-23,2024-11-07,2024-11-03,-4,No,N/A,Easy,High,109,152,130.5
10091,548,1057,Task_10091,High,Completed,28,24,2025-07-08,2025-08-15,2025-08-22,7,No,N/A,Easy,Low,23,42,32.5
10092,525,1059,Task_10092,High,Ready for Review,82,92,2025-07-15,2025-09-21,2025-09-21,0,No,N/A,Medium,High,77,107,92.0
10093,532,1190,Task_10093,Medium,Pending,68,73,2025-07-04,2025-08-23,2025-08-23,0,No,Pending Approval,Complex,High,66,93,79.5
10094,534,0,Task_10094,Critical,Not Started,14,13,2025-06-15,2025-09-13,2025-09-13,0,No,N/A,Easy,High,13,18,15.5
10095,546,1018,Task_10095,High,In Progress,29,24,2025-11-23,2025-12-25,2025-12-25,0,No,N/A,Easy,High,24,43,33.5
10096,540,1171,Task_10096,Low,Pending,71,108,2025-02-09,2025-04-17,2025-04-17,0,No,Waiting for Client Input,Easy,High,70,126,98.0
10097,535,1071,Task_10097,Low,Pending,46,42,2025-11-15,2026-01-23,2026-01-23,0,No,Vendor Delay,Easy,High,42,52,47.0
10098,513,1062,Task_10098,Critical,In Progress,89,117,2025-08-03,2025-09-09,2025-09-09,0,No,N/A,Easy,Medium,86,130,108.0
10099,537,1118,Task_10099,Low,Review Completed,41,80,2025-07-23,2025-08-25,2025-08-24,-1,No,N/A,Medium,Medium,40,86,63.0
10100,531,1142,Task_10100,Critical,Review Completed,17,52,2025-05-10,2025-05-16,2025-05-11,-5,No,N/A,Complex,Medium,16,72,44.0
10101,534,1025,Task_10101,High,Delayed,15,24,2025-01-23,2025-02-24,2025-02-24,0,No,Vendor Delay,Easy,Low,10,44,27.0
10102,535,1072,Task_10102,Medium,Pending,82,119,2026-01-20,2026-01-29,2026-01-29,0,No,Pending Approval,Complex,Low,79,124,101.5
10103,526,1183,Task_10103,High,Completed,19,33,2025-12-26,2026-01-20,2026-01-28,8,Yes,N/A,Medium,High,17,50,33.5
10104,547,1177,Task_10104,Critical,In Progress,20,47,2025-01-31,2025-03-21,2025-03-21,0,No,N/A,Easy,Low,19,55,37.0
10105,550,1155,Task_10105,High,Ready for Review,88,121,2025-05-24,2025-07-18,2025-07-18,0,No,N/A,Medium,Medium,85,126,105.5
10106,536,1092,Task_10106,Low,In Progress,58,80,2025-01-09,2025-02-06,2025-02-06,0,No,N/A,Complex,Medium,53,97,75.0
10107,546,1064,Task_10107,Critical,Completed,19,19,2026-05-15,2026-06-23,2026-06-17,-6,No,N/A,Medium,Medium,15,28,21.5
10108,506,0,Task_10108,Low,Not Started,10,24,2025-07-09,2025-09-08,2025-09-08,0,No,N/A,Easy,Low,7,37,22.0
10109,529,1111,Task_10109,Low,In Progress,81,111,2024-10-19,2024-12-28,2024-12-28,0,No,N/A,Easy,Medium,77,119,98.0
10110,539,1024,Task_10110,Critical,Delayed,86,101,2024-06-04,2024-07-28,2024-07-28,0,No,Waiting for Client Input,Easy,High,83,119,101.0
10111,537,1063,Task_10111,High,Delayed,76,81,2026-04-28,2026-06-20,2026-06-20,0,No,Pending Approval,Medium,Medium,74,94,84.0
10112,511,1017,Task_10112,Low,In Progress,65,77,2026-04-30,2026-06-27,2026-06-27,0,No,N/A,Medium,Medium,62,97,79.5
10113,541,1185,Task_10113,Low,In Progress,73,106,2025-07-30,2025-10-21,2025-10-21,0,No,N/A,Easy,Medium,71,125,98.0
10114,526,0,Task_10114,High,Not Started,52,86,2026-03-15,2026-05-07,2026-05-07,0,No,N/A,Medium,High,49,105,77.0
10115,520,1035,Task_10115,Critical,Delayed,51,84,2024-12-01,2024-12-31,2024-12-31,0,No,Infrastructure Issue,Medium,Medium,48,94,71.0
10116,541,1178,Task_10116,Critical,Pending,72,103,2025-05-07,2025-06-12,2025-06-12,0,No,Dependency on External Team,Medium,Low,68,116,92.0
10117,538,1052,Task_10117,Critical,Delayed,79,85,2024-12-08,2025-02-21,2025-02-21,0,No,Waiting for Client Input,Medium,High,75,96,85.5
10118,527,0,Task_10118,High,Not Started,96,122,2025-02-04,2025-02-26,2025-02-26,0,No,N/A,Complex,Low,93,134,113.5
10119,525,1109,Task_10119,Critical,Pending,19,42,2025-12-30,2026-03-21,2026-03-21,0,No,Infrastructure Issue,Complex,Low,14,59,36.5
10120,545,1093,Task_10120,Medium,Completed,113,142,2026-04-21,2026-07-11,2026-07-21,10,Yes,N/A,Complex,High,112,150,131.0
10121,542,1043,Task_10121,Critical,Ready for Review,88,85,2024-11-18,2025-02-03,2025-02-03,0,No,N/A,Easy,Low,84,100,92.0
10122,517,0,Task_10122,Critical,Not Started,38,65,2025-10-22,2026-01-01,2026-01-01,0,No,N/A,Medium,Medium,33,77,55.0
10123,544,1198,Task_10123,Critical,Review Completed,85,124,2025-07-28,2025-10-05,2025-09-29,-6,No,N/A,Easy,Medium,82,129,105.5
10124,508,1022,Task_10124,Medium,Review Completed,116,120,2025-12-20,2026-02-07,2026-02-06,-1,No,N/A,Complex,Medium,113,139,126.0
10125,507,1122,Task_10125,High,Ready for Review,66,105,2025-08-29,2025-10-30,2025-10-30,0,No,N/A,Easy,High,63,112,87.5
10126,502,0,Task_10126,Medium,Not Started,118,134,2025-09-24,2025-12-20,2025-12-20,0,No,N/A,Complex,Low,117,144,130.5
10127,522,1041,Task_10127,Medium,Delayed,81,103,2026-03-23,2026-05-26,2026-05-26,0,No,Pending Approval,Complex,High,77,113,95.0
10128,502,1102,Task_10128,Critical,Review Completed,104,138,2025-07-03,2025-08-02,2025-08-06,4,No,N/A,Easy,High,99,156,127.5
10129,518,1053,Task_10129,Medium,In Progress,106,146,2024-09-17,2024-09-30,2024-09-30,0,No,N/A,Medium,Medium,101,154,127.5
10130,508,1118,Task_10130,Critical,In Progress,43,80,2025-02-14,2025-04-22,2025-04-22,0,No,N/A,Complex,Medium,38,95,66.5
10131,523,1030,Task_10131,Medium,Delayed,55,79,2024-08-27,2024-11-19,2024-11-19,0,No,Pending Approval,Medium,Low,52,86,69.0
10132,508,1079,Task_10132,Critical,In Progress,33,51,2025-06-11,2025-07-04,2025-07-04,0,No,N/A,Complex,Low,28,68,48.0
10133,528,1099,Task_10133,Critical,Delayed,33,59,2025-04-09,2025-07-04,2025-07-04,0,No,Awaiting Manager Decision,Medium,Low,31,69,50.0
10134,529,1081,Task_10134,Medium,In Progress,89,87,2026-01-09,2026-02-28,2026-02-28,0,No,N/A,Easy,Medium,88,107,97.5
10135,542,1130,Task_10135,Medium,Delayed,73,94,2024-10-03,2024-12-09,2024-12-09,0,No,Infrastructure Issue,Easy,High,69,114,91.5
10136,549,0,Task_10136,High,Not Started,38,51,2024-10-24,2024-11-02,2024-11-02,0,No,N/A,Easy,Medium,35,63,49.0
10137,550,1191,Task_10137,High,Delayed,108,134,2025-08-29,2025-11-12,2025-11-12,0,No,Awaiting Manager Decision,Complex,Medium,107,142,124.5
10138,503,1194,Task_10138,Medium,Delayed,107,130,2025-11-23,2026-02-05,2026-02-05,0,No,Pending Approval,Medium,Low,103,138,120.5
10139,523,1068,Task_10139,High,Review Completed,120,120,2025-01-24,2025-03-26,2025-03-19,-7,No,N/A,Complex,High,118,131,124.5
10140,511,1110,Task_10140,High,Pending,88,91,2024-06-30,2024-07-31,2024-07-31,0,No,Pending Approval,Complex,High,87,107,97.0
10141,546,1083,Task_10141,Medium,In Progress,47,60,2024-07-11,2024-09-27,2024-09-27,0,No,N/A,Medium,Low,44,68,56.0
10142,509,1168,Task_10142,Medium,Ready for Review,99,102,2024-11-28,2025-01-03,2025-01-03,0,No,N/A,Complex,Medium,97,117,107.0
10143,537,1037,Task_10143,Low,Review Completed,90,102,2024-11-05,2025-01-29,2025-02-01,3,No,N/A,Complex,Low,86,121,103.5
10144,548,1132,Task_10144,Low,Review Completed,45,84,2025-11-16,2026-01-07,2026-01-11,4,No,N/A,Complex,Low,41,99,70.0
10145,541,1118,Task_10145,Medium,Pending,95,134,2025-04-09,2025-05-29,2025-05-29,0,No,Waiting for Client Input,Medium,Low,90,151,120.5
10146,521,1069,Task_10146,Critical,Review Completed,116,129,2024-06-07,2024-07-25,2024-08-01,7,No,N/A,Medium,High,111,138,124.5
10147,503,1013,Task_10147,Critical,Completed,22,57,2025-12-08,2026-02-09,2026-01-30,-10,No,N/A,Medium,Low,21,67,44.0
10148,545,1052,Task_10148,High,Review Completed,26,62,2026-01-25,2026-03-09,2026-03-04,-5,No,N/A,Medium,Low,23,69,46.0
10149,542,1171,Task_10149,Critical,Ready for Review,31,29,2025-06-24,2025-08-18,2025-08-18,0,No,N/A,Complex,Low,28,41,34.5
10150,501,1025,Task_10150,Critical,Pending,37,62,2026-03-01,2026-03-15,2026-03-15,0,No,Pending Approval,Easy,Low,32,74,53.0
10151,508,1088,Task_10151,Critical,Pending,120,142,2025-01-16,2025-02-06,2025-02-06,0,No,Infrastructure Issue,Easy,High,119,154,136.5
10152,507,1027,Task_10152,Medium,Completed,50,68,2025-01-03,2025-02-15,2025-02-09,-6,No,N/A,Easy,High,46,77,61.5
10153,540,1003,Task_10153,Critical,Delayed,93,98,2026-05-08,2026-07-08,2026-07-08,0,No,Dependency on External Team,Complex,High,91,107,99.0
10154,506,1056,Task_10154,Critical,Review Completed,22,25,2024-09-30,2024-10-20,2024-10-28,8,Yes,N/A,Medium,Low,18,41,29.5
10155,542,1071,Task_10155,Low,In Progress,20,30,2025-07-17,2025-09-30,2025-09-30,0,No,N/A,Complex,Medium,15,44,29.5
10156,539,1133,Task_10156,Medium,In Progress,75,82,2025-01-28,2025-03-24,2025-03-24,0,No,N/A,Medium,Medium,72,88,80.0
10157,516,0,Task_10157,High,Not Started,73,108,2024-10-26,2025-01-15,2025-01-15,0,No,N/A,Medium,Low,72,113,92.5
10158,527,1146,Task_10158,Low,Review Completed,56,85,2026-01-03,2026-01-30,2026-02-04,5,No,N/A,Easy,Medium,55,90,72.5
10159,504,1011,Task_10159,Critical,In Progress,111,131,2024-08-29,2024-11-06,2024-11-06,0,No,N/A,Complex,Medium,108,149,128.5
10160,541,0,Task_10160,Low,Not Started,78,107,2026-03-29,2026-06-20,2026-06-20,0,No,N/A,Medium,Low,76,120,98.0
10161,510,1053,Task_10161,Critical,Delayed,78,93,2024-10-13,2024-12-07,2024-12-07,0,No,Awaiting Manager Decision,Complex,Low,77,107,92.0
10162,516,0,Task_10162,High,Not Started,21,43,2024-06-29,2024-07-18,2024-07-18,0,No,N/A,Complex,High,17,49,33.0
10163,512,1190,Task_10163,Critical,Pending,25,20,2025-01-26,2025-02-17,2025-02-17,0,No,Vendor Delay,Medium,High,24,30,27.0
10164,517,1185,Task_10164,Low,Delayed,31,49,2025-08-26,2025-09-16,2025-09-16,0,No,Vendor Delay,Medium,Medium,28,57,42.5
10165,505,1135,Task_10165,Critical,Ready for Review,43,83,2025-03-27,2025-06-13,2025-06-13,0,No,N/A,Complex,Medium,42,103,72.5
10166,532,0,Task_10166,High,Not Started,119,150,2024-06-25,2024-07-21,2024-07-21,0,No,N/A,Easy,High,116,160,138.0
10167,508,1186,Task_10167,Low,Pending,39,66,2025-05-27,2025-06-01,2025-06-01,0,No,Waiting for Client Input,Medium,Medium,38,78,58.0
10168,512,1039,Task_10168,High,Review Completed,119,116,2024-10-14,2024-12-28,2025-01-07,10,Yes,N/A,Easy,Medium,115,128,121.5
10169,518,1082,Task_10169,Medium,Pending,115,114,2025-11-26,2026-02-12,2026-02-12,0,No,Dependency on External Team,Easy,High,114,120,117.0
10170,526,0,Task_10170,Low,Not Started,18,42,2025-01-25,2025-03-07,2025-03-07,0,No,N/A,Complex,Medium,15,57,36.0
10171,524,0,Task_10171,Critical,Not Started,35,48,2026-04-11,2026-06-27,2026-06-27,0,No,N/A,Medium,High,32,60,46.0
10172,550,1198,Task_10172,Low,Review Completed,35,64,2025-10-26,2025-12-01,2025-11-25,-6,No,N/A,Easy,High,34,82,58.0
10173,545,1163,Task_10173,Low,Ready for Review,11,27,2025-03-07,2025-03-12,2025-03-12,0,No,N/A,Easy,High,7,41,24.0
10174,532,1108,Task_10174,Medium,In Progress,17,21,2025-06-10,2025-07-20,2025-07-20,0,No,N/A,Complex,Medium,16,27,21.5
10175,530,1096,Task_10175,Critical,Pending,105,105,2025-03-20,2025-06-07,2025-06-07,0,No,Waiting for Client Input,Easy,High,100,114,107.0
10176,528,1016,Task_10176,Critical,Delayed,94,97,2025-02-21,2025-03-28,2025-03-28,0,No,Dependency on External Team,Complex,High,91,112,101.5
10177,529,1082,Task_10177,Low,Ready for Review,44,53,2026-05-07,2026-05-21,2026-05-21,0,No,N/A,Easy,Low,42,62,52.0
10178,530,1116,Task_10178,Medium,In Progress,50,71,2026-03-07,2026-03-27,2026-03-27,0,No,N/A,Medium,Medium,45,87,66.0
10179,508,1068,Task_10179,High,Review Completed,21,26,2025-03-08,2025-04-20,2025-04-29,9,Yes,N/A,Easy,Low,20,37,28.5
10180,523,1064,Task_10180,Medium,Pending,60,87,2025-07-15,2025-07-26,2025-07-26,0,No,Vendor Delay,Easy,Medium,57,100,78.5
10181,536,1116,Task_10181,Medium,Completed,105,135,2024-09-28,2024-11-03,2024-10-27,-7,No,N/A,Easy,Low,101,143,122.0
10182,550,0,Task_10182,Low,Not Started,38,41,2025-03-29,2025-04-28,2025-04-28,0,No,N/A,Complex,High,34,57,45.5
10183,502,1020,Task_10183,Low,Ready for Review,18,25,2025-10-21,2026-01-16,2026-01-16,0,No,N/A,Medium,Low,14,34,24.0
10184,530,0,Task_10184,Critical,Not Started,16,21,2025-09-22,2025-12-09,2025-12-09,0,No,N/A,Easy,Medium,12,38,25.0
10185,512,1110,Task_10185,Medium,Pending,55,63,2024-10-20,2024-11-17,2024-11-17,0,No,Dependency on External Team,Easy,High,52,82,67.0
10186,516,1158,Task_10186,Low,Delayed,92,105,2025-06-15,2025-08-22,2025-08-22,0,No,Infrastructure Issue,Easy,Medium,87,125,106.0
10187,527,1036,Task_10187,Critical,Review Completed,35,71,2026-05-06,2026-07-17,2026-07-14,-3,No,N/A,Complex,Medium,30,76,53.0
10188,532,1140,Task_10188,Medium,Review Completed,54,85,2026-02-07,2026-04-17,2026-04-17,0,No,N/A,Easy,Medium,50,98,74.0
10189,502,1057,Task_10189,Medium,Delayed,113,125,2025-11-18,2025-11-30,2025-11-30,0,No,Infrastructure Issue,Easy,Low,108,141,124.5
10190,516,1169,Task_10190,High,In Progress,44,73,2024-06-01,2024-06-13,2024-06-13,0,No,N/A,Easy,Low,42,90,66.0
10191,521,1152,Task_10191,High,In Progress,113,152,2025-05-31,2025-07-20,2025-07-20,0,No,N/A,Complex,High,108,157,132.5
